gene	common
SL2614	yfiP
SL2329	
SL3262	argG
SL1749	yeaZ
SL3450	rpe
SL3207	yhaJ
SL2077	wcaL
SL2080	wcaJ
SL0027	bcfG
SL1486	
SL3458	comB
SL4147	
SL0640	
SL1712	ychF
SL3158	yqiB
SL3058	
SL1406	ydgC
SL1361	ydhB
SL1260	ydiZ
SL2990	
SL1471	
SL4418	
SL0117	ilvH
SL0579	fepG
SL2882	
SL3627	xylR
SL1737	
SL1530	pdgL
SL0932	ycbB
SL3140	
SL0080	yaaU
SL0484	gsk
SL1070	
SL4364	
SL3040	iciA
SL3961	
SL0818	ybiV(1)
SL3941	mobB
SL1638	yciH
SL1713	
SL3539	yhhM
SL2115	
SL4494	deoC
SL3045	pgk
SL0304	yafV
SL1938	
SL1187	
SL0636	leuS
SL0577	fepE
SL0696	
SL0707	
SL1081	csgA
SL2320	hisP
SL2420	eutC
SL2977	comO
SL2615	yfiQ
SL1594	ynaI
SL1765	ftsI2
SL0448	ybaW
SL3215	tdcC
SL2303	yfbT
SL0220	frr
SL1996	cbiO
SL1177	
SL2239	rcsB
SL1085	ymdC
SL0798	ybiB
SL1654	trpE
SL3311	nanA
SL1921	yedJ
RyeC	
SL1313	orf48
SL1694	narX
SL4463	cstAb
SL0559	
SL0666	nagB
SL0183	panB
SL3208	yhaK
SL4467	
SraF	
SL3060	
SL3103	
SL2727	
SL2503	iscA
SL1405	rstA
SroA	
SL1475	
SL4338	ytfJ
SL1199	aadA
SL1983	
SL2375	ypeC
STnc3350	
SL4294	miaA
SL3909	rarD
SL3143	
SL4409	yjgP
SL0388	yajF
SL0116	ilvI
SL0951	C1
SL1601	
SL3003	STM325
SL2252	glpT
SL1573	
SL3475	
SL3210	yhaN
SL3947	polA
SL2035	yeeX
SL0234	
SL1976	
SL3436	pabA
SL2573	
SL2794	proV
SL0813	ybiT
SL2899	
SL4503	lplA
SL0246	metQ
SL0204	clcA
SL3763	ivbL
SL0349	
SL1959	
SL2579	
