gene	common
SL2244	
SL3794	dgoD
SL1630	ycjE
SL1215	yeaM
SL4459	
SL1698	chaB
SL0688	kdpA
SL3055	
SL2739	hxlA
SL1597	
SL4498	stjA
tp2	
SL1091	yceE
STnc1320	
SL1307	sufS
SL3746	
SL2777	gabP
SL3739	
SL1289	ydiP
SL3015	idi
SL0591	ybdL
SL1352	ssaQ
SL0355	
SL0647	ybeV
SL1571	hrpA
SL0939	dpaL
SL2386	yfeN
SL3373	def
SL4194	siiB
SL4195	siiC
SL4196	siiD
SL4193	siiA
SL1115	flgF
SL2230	napD
SL1112	flgC
SL1113	flgD
SL2872	invI
SL2873	invC
SL2870	spaO
SL1111	flgB
SL1900	fliH
SL2871	invJ
SL2226	napB
SL2227	napH
SL2850	orgA
SL2879	invH
SL1901	fliI
SL2851	prgK
SL2225	napC
SL1029	pipC
SL4325	priB
SL1906	fliN
SL1897	fliE
SL2875	invA
SL0760	modC
STnc2180	
SL3835	atpH
SL3836	atpF
SL1849	flhB
SL1898	fliF
SL3119	hybE
SL4109	hupA
SL2852	prgJ
SL1904	fliL
SL1119	flgJ
SL2849	orgB
SL0722	cydA
SL1908	fliP
SL2231	napF
SL1030	sopB
SL2228	napG
SL1885	fliA
SL1363	sodB
FnrS	
SL2846	sprB
SL1116	flgG
SL2874	invB
SL2853	prgI
SL1890	fliS
SL1031	orfX
SL1784	sopE2
SL1902	fliJ
SL2869	spaP
SL1118	flgI
SL1117	flgH
SL1110	flgA
SL2876	invE
SL3834	atpA
SL3031	gcvT
SL1891	fliT
SL2867	spaR
SL2610	yfiD
SL3189	
SL2229	napA
SL4245	
SL0723	cydB
SL1114	flgE
SL2674	sopE
SL1263	
SL2861	sipA
SL1833	ruvC
SL0759	modB
SL2868	spaQ
SL0629	ybeA
SL2648	rimM
SL1905	fliM
SL2863	sipC
SL0724	ybgT
SL3831	atpC
SL2908	ispF
SL0218	tsf
SL1856	cheA
SL2001	cbiK
SL1896	
SL1867	
SL3383	rpsD
SL4215	nrfC
SL1269	
SL2191	spr
SL3029	gcvP
SL3030	gcvH
SL1889	fliD
SL1903	fliK
SL3833	atpG
SL1907	fliO
SL1850	cheZ
SL3832	atpD
SL4279	frdB
SL3221	garRb
SL3551	yhiH
SL3407	rplC
SL3576	yhjH
SL1464	
SL1852	cheB
SL3694	rpmB
SL3393	rpsH
SL3190	aer
SL2290	nuoI
SL3771	yidF
SL2533	murQ
SL2837	hypD
SL3837	atpE
SL1848	flhAa
SL4085	tufB
SL3405	rplW
SL3779	ccmH1
SL4167	malK
SL0401	yajC
SL0683	speF
SL4235	melA
SL0720	sucC
SL2332	cvpA
SL1413	ydgE
SL3838	atpB
SL3400	rplP
SL3406	rplD
SL4090	rplJ
SL2002	cbiJ
SL1121	flgL
SL1524	srfA
SL2713	
SL1128	rpl32
SL4110	yjaH
SL1857	motB
SL3862	ilvM
SL1127	yceD
SL3394	rpsN
SL3384	rpsK
SL3381	rplQ
STnc520	
SL1853	cheR
SL3404	rplB
SL3595	dppB
SL1439	ydfZ
SL3276	rplU
SL2864	sipB
SL3382	pez
SL4089	rplA
SL0217	rpsB
SL4464	tsr
SL0445	hupB
SL1500	fdnG
SL4248	
SL2007	cbiE
SL3396	rplX
SL4214	nrfB
SL2847	hilC
GcvB	
SL2275	menC
SL3408	rpsJ
SL4198	siiF
SL3672	yigQ
SL1083	ymdA
SL3352	accB
SL1389	rnfC
SL1964	
SL2919	
SL3346	mreB
SL2008	cbiD
SL4280	frdA
SL1663	ompW
SL2848	orgC
STnc4180	
SL2004	cbiG
SL3391	rl18
SL3123	hybA
SL3390	rpsE
SL0124	murF
SL1858	motA
SL0133	ftsZ
SL1120	flgK
SL4168	lamB
SL0219	pyrH
SL2647	trmD
SL2865	sicA
SL1860	flhD
SL3402	rplV
SL4324	rpsF
SL2617	yfiM
t44	
SL2223	ccmH2
SL0728	tolR
SL3592	dppF
SL3903	xerC
SL4327	rplI
SL2000	cbiL
SL0715	sdhD
SL1122	rne
SL3579	dctA
SL3860A	ilvX
SL4114	purD
SL3316	rpsI
SL3682	rfaY
SL0128	murG
SL3397	rplN
SL0902	dmsA
SL3392	rplF
SL4197	siiE
SL3403	rpsS
SL1270	
SL4027	yneB
SL3388	rplO
SL2165	mglC
SL3298	mtgA
SL1204	aroQ
SL3465	hslO
SL0718	sucA
SL0719	sucB
SL4326	rpsR
SL1951	
RNaseP	
SL3248	yhbV
SL2859	sicP
SL2129	stcA
SL2310	
SL1909	fliQ
SL1503	ompD
SL3984	fdoG
SL3693	rpmG
SL0903	dmsB
SL2860	iacP
SL4088	rplK
SL3593	dppD
SL3594	dppC
SL4266	groES
SL0746	
SL2041	phsA
SL2287	nuoL
SL3981	fdhE
SL3983	fdoH
SL2040	phsB
SL4278	frdC
SL3668	grxC
SL3357	yhdG
SL2462	purM
SL3631	ysaA
SL0441	tig
SL2338	usg
SL2052	hisH
SL2450	purC
SL0397	tsaA
SL2950	sdaC
SL3399	rpmC
SL1556	trg
SL4267	groEL
SL3386	rpmJb
SL3317	rplM
SL0123	murE
SL3414	rpsG
SL3413	fusA
SL0682	potE
STnc1380	
SL3130	
SL0127	ftsW
SL4213	nrfA
SL3353	accC
SL2288	nuoK
SL0758	modA
SL3806	rpmH
SL2009	cbiC
SL3117	hybG
SL2862	sipD
SL1499	fdnH
SL1945	
SL2019	pduG
SL2649	rps16
SL2203	yejK
SL1069	
SL2866	spaS
STnc800	
SL1760	
SL3471	yhgF
SL4243	
SL2011	cbiA
SL0948	
SL1382	pdxY
SL2905	pcm
SL3713	yicE
SL0125	mraY
SL0716	sdhA
SL3016	lysS
SL0721	sucD
SL1138	holB
SL0481	adk
SL3385	rpsM
SL4115	purH
SL3809	yidC
SL0731	pal
SL4505	serB
SL2006	cbiT
SL3112	
SL4216	nrfD
SL3401	rpsC
SL2005	cbiF
SL4166	malE
SL1100	pyrC
SL1835	ntpA
SL1726	ycgR
SL2856	hilA
STnc1460	
SL1134	fabF
SL3828	glmS
SL3389	rpmD
SL2708	cI
SL0479	recR
SL0230	lpxB
SL1484	
SL4443	iadA
SL3047	
SL3698	slmA
SL2331	purF
SL1062	putA
SL2987	ygeD
SL4043	cytR
SL1855	cheW
SL2267	pmrF
SL3886	
SL3554	pitA
SL1463	hyaE2
SL3711	
SL4445	yjiH
SL4093	rpoC
SL4026	yneA
SL1171	ycfC
SL3869	ilvC
SL2268	yfbG
SL2289	nuoJ
SL1884	fliZ
SL2285	nuoN
SL2248	yfaE
SL0362	prpR
SL2527	purG
SL0976	
SL2500	fdx
SL2540	pdxJ
SL1743	minD
SL4061	frwC
SL1185	pliC
SL3549	nikR
SL1129	plsX
SL0129	murC
SL3026	yqfB
SL1435	rspA
SL3387	prlA
SL0226	hlpA
SL0185	pcnB
SL0520	allC
SL3689	rfaQ
SL4244	
SL2765	mig-14
SL4506	radA
SL3665	cysE
SL1674	oppD
SL3434	yhfK
SL2237	ompC
SL2380	yfeD
SL2201	rplY
SL3052	tktA
SL3077	yggU
SL0126	murD
SL1498	fdnI
SL2429	eutD
SL2291	nuoH
SL0118	fruR
SL3808	
SL3613	yiaF
SL2283	
SL1997	cbiQ
SL3678	rfaC
SL3294	ptsN
SL0930	mukE
SL2854	prgH
SL1971	
SL4304	yjfJ
SL4486	rimI
SL0725	ybgE
SL4492	yjjW
SL4262	dcuA
SL3675	kbl
SL3183	rpsU
SL1759	
SL3880	rffD
SL2292	nuoG
SL4185	aphA
SL2067	rfbH
SL2632	
SL2489	
SL4205	yjcE
SL0922	lpxK
SL3305	codB
SL3791	torT
SL3669	yibN
SL2463	purN
SL0399	queA
SL0934	ycbL
SL1708	prs
SL0526	purK
SL0393	phoR
SL0505	sfbC
SL2123	thiD
SL4102	thiE
SL3247	yhbU
SL3017	prfB
SL0527	purE
SL2247	nrdB
SL3839	atpI
STnc2050	
SL1465	hyaD2
SL3318	yhcM
SL3620	glyS
SL0131	ftsQ
SL4184	tyrB
SL0621	lipA
SL1354	ssaS
SL3882	rffH
SL3762	ilvB
SL2045	yeeF
SL3454	aroK
SL3120	hybD
SL3441	nirB
SL1582	ynaF
SL3256	rpsO
SL3122	hybB
SL1841	yecP
SL0824	yliA
SL0372	yaiW
SL1195	
SL3692	mutM
SL3755	uhpB
SL3884	rffA
SL3829	glmU
SL1170	purB
SL2003	cbiH
SL2389	
SroG	
SL3275	rpmA
SL2269	
SL0044	rpsT
SL2714	
SL1137	tmk
SL4277	frdD
SL4092	rpoB
SL3861	ilvG
SL3358	fis
SL0132	ftsA
SL0766	hutC
SL4488	prfC
SL3644	
SL2311	
SL2807	alaS
SL0983	sodCa
SL1993	cobS
SL3881	rffG
SL0891	infA
SL0630	ybeB
SL0121	ftsL
SL0672	
STnc810	
SL0825	yliB
SL0782	moaE
SL3467	pckA
SL0476	apt
SL2541	recO
SL3451	dam
SL1766	cspC
SL3902	yigA
SL2403	cysM
SL2397	
SL2493	pbpC
SL2957	fucK
SL3049	
SL4034	glpX
SL2877	invG
SL3285	yrbF
SL3121	hybC
SL4473	yjjA
SL3343	maf-b
SL1109	flgM
SL3419	yheO
SL1995	cbiP
SL0046	ribF
SL2922	
SL3852	rbsK
SL1181	envE
SL3240	yraP
SL2926	cysI
SL1271	
SL3690	kdtA
SL2858	sptP
SL3341	yhdP
SL4125	pepE
SL2048	hisG
SL2286	nuoM
SL3863	ilvE
SL1851	cheY
SL1677	oppA
SL3155	parE
SL3542	tcp
SL1299	ydiJ
SL3564	
SL3550	yhhJ
SL0407	tsx
SL0717	sdhB
SL0936	ompF
SL4044	priA
SL1233	topB
SL2461	upp
SL3319	yhcB
SL4007	cpxA
SL0633	nadD
SL1744	minE
SL0480	htpG
SL3733	
SL2166	mglA
SL4348	fbp
SL1868	ftn
SL1818	eda
SL2274	menE
SL0596	ahpC
SL3557	yhiP
SL2022	pduK
SL0952	
SL3966	yihR
SL2909	ispD
SL2294	nuoE
SL0228	fabZ
SL4391	pyrB
SL4456	hsdM
SL3697	dut
SL1216	yeaL
SL3578	yhjJ
SL4045	rpmE
SL1108	flgN
SL3804	dnaN
SL3081	ansB
SL0120	mraW
SL0078	fixC
SL2534	yfhH
SL3260	nusA
SL0184	folK
SL1131	fabD
SL1368	nemA
SL3759	
SL2293	nuoF
SL2991	lysA
SL3883	rffC
SL0727	tolQ
SL0446	cypD
SL1887	fliB
SL0122	ftsI
SL1191	
SL4318	ptxA
SL3048	
SL0231	rnhB
SL3584	bcsA
SL1105	yceH
SL1761	
STnc1400	
SL0211	cdaR
SL0416	dxs
SL4113	hydG
SL2451	nlpB
SL4457	hsdR
SL3265	glmM
SL2812	srlA
SL1854	cheM
SL0106	thiQ
SL3599	
SL2312	
SL2606	yfiC
SL4389	yjgF
SL2246	nrdA
SL3306	codA
SL3345	mreC
SL2592	cIIa
SL4099	thiG
SL2956	fucI
SL2010	cbiB
SL0119	mraZ
SL3577	kdgK
SL1184	pagC
CyaR	
SL4072	argB
SL0669	ybfM
SL2751	
SL3239	yraO
SL2881	
SL3691	coaD
SL3954	glnA
SL0139	yacF
SL4028	yneC
SL1690	narJ
SL3757	
SL2167	mglB
SL0434	cyoD
SL3522	ugpA
SL3667	secB
SL0403	secF
SL2633	
SL2409	
SL3670	pmgI
SL0154	lpdA
SL2168	galS
SL1063	putP
SL3585	yhjQ
SL2043	sopA
SL1156	ycfW
SL2599	
SL2083	wcaI
SL0904	dmsC
SL2924	sopD
SL2768	tctE
SL2838	hypE
SL2404	cysA
SL1899	fliG
SL0402	secD
SL4204	yjcD
SL1221	mipA
SL1381	tyrS
SL1568	
SL0781	moaD
SL0096	rluA
SL2053	hisA
SL3348	yhdA
SL3453	aroB
SL2834	
SL3709	spoU
SL2066	rfbJ
SL2051	hisB
SL2562	
SL2954	fucA
SL3710	recG
SL0141	guaC
SL3418	yheN
SL1384	tppB
SL1157	ycfX
SL1300	
SL1977	yeeI
SL4242	
SL2062	rfbN
SL2732	
SL2764	virK
SL4461	yjiA
SL3786	yhjA
SL1859	flhC
SL0947	
SL0949	
SL2086	gmd
SL4305	
SL4349	mpl
SL3314	sspA
SL0104	araC
SL2405	cysW
SL4421	
SL0823	ybiK
SL3975	yiiD
SL3126	
SL3367	yrdB
SL3699	pyrE
SL2438	
SL2981	ptsP
SL0895	cydD
SL1651	yciL
SL1192	
SL4056	katG
SL1008	lonH
SL3105	
SL3683	rfaJ
SL1969	
SL3865	ilvA
SL3992	yiiL
SL1676	oppB
SL3395	rplE
SL2351	yfcA
SL2491	
SL0243	proS
SL4087	nusG
SL2697	
SL0391	sbcD
SL3468	envZ
SL0233	accA
SL4375	
SL3070	gshB
SL1836	aspS
SL1320	ttrS
SL0400	tgt
SL3488	rtcR
SL3840	gidB
SL0237	mesJ
SL0367	hemB
SL1072	ycdW
SL2406	cysU
SL2965	ygdK
SL3354	yhdT
SL4384	treC
SL2984	ygdQ
SL3342	cafA
SL1703	hemK
SL3708	spoT
SL1311	lpp
SL1529	ydcR
SL0827	yliD
SL0166	speD
SL0810	
SL2539	acpS
SL4477	yjjP
SL2972	recB
SL0167	speE
SL2016	dhaB
SL0714	sdhC
SL2836	hypC
SL2959	fucR
SL3805	dnaA
SL0804	glnP
SL0848	grxA
SL1794	
SL0897	lrp
SL2997	yqeF
SL0931	mukB
SL0224	yaeL
SL2490	
SL3159	nudF
SL2277	yfbB
SL2937	relA
SL3292	rpoN
SL2071	rfbC
SL0137	mutT
SL2513	
SL2996	kduI
SL3538	yhhL
SL3051	
SL4250	rtsB
SL0318	proA
SL4425	
SL4169	malM
SL1704	prfA
SL1419	bioDb
SL1158	cobB
SL2068	rfbG
SL2410	yfeY
SL0436	cyoB
SL4288	
SL2400	yfeJ
SL1992	cobT
SL0929	mukF
SL2880	
SL1398	fumA
SL0853	ybjN
SL3648	selA
SL2297	nuoA
SL0632	cobD
SL4059	talC
SL3313	sspB
SL1949	
SL0003	thrB
SL3415	rpsL
SL0174	yadH
SL0413	thiL
SL2302	yfbS
SL3849	rbsA
SL3811	intA
SL3583	yhjN
SL1633	rnb
SL1817	purT
SL0307	yafJ
SL4405	valS
SL3085	mutY
SL2455	
SL3904	yigB
SL0901	serS
SL1390	rnfB
SL2914	cysD
SL3521	ugpE
SL0487	ushA
SL2951	sdaB
SL0674	
SL3018	recJ
SL4013	cdh-a
SL1409	pntA
SL3489	glpR
SL0433	cyoE
SL1130	fabH
SL0206	yadS
SL4218	nrfG
SL2971	recD
SL3469	ompR
SL3146	sufI
SL4516	creC
SL3864	ilvD
SL4427	
SL2726	
SL1224A	
SL0826	yliC
SL3761	ilvN
SL1522	ydcZ
SL2296	nuoB
SL0322	
SL3264	secG
SL4079	btuB
SL2333	dedD
SL1349	ssaN
SL1946	
SL2813	srlE
SL2814	slrB
SL2018	pduE
SL3765	
SL2335	accD
SL4297	hflK
SL1755	sdaA
SL2910	ftsB
SL2542	era
SL2350	yfcM
SL1952	
SL2907	truD
SL0130	ddl
SL3850	rbsC
SL3679	rfaL
SL4074	oxyR
SL0925	kdsB
SL0153	aceF
SL0942	
SL2947	syd
SL0803	glnQ
SL1525	srfB
SL1931	
SL4381	nrdG
SL4217	nrfE
SL4423	
SL3452	damX
SL3624	yiaB
SL1789	
STnc1200	
SL4069	ppc
SL4298	hflC
SL1044	hpaH
SL2916	ygbF
SL4163	malG
SL2845	avrA
SL3674	tdh
SL0864	artM
SL0097	hepA
SL0410	ribD
SL2359	yfcZ
SL3677	rfaF
SL1466	hyaC2
SL0821	moeB
SL2802	luxS
SL1168	phoQ
SL2497	sseBb
SL3841	gidA
SL0693	ybgJ
SL1650	btuR
SL3295	yhbJ
SL2597A	
SL2894	hyi
SL3231	gatA
SL3626	xylA
SL3813	
SL4396	
SL4493	yjjI
SL1342	ssaI
SL2560	
SL2060	rfbK
SL0152	aceE
SL1750	yoaA
SL0049	fkpB
SL3039	rpiA
SL1155	lolD
SL3443	nirC
SL2925	cysH
SL3193	ygjO
SL3149	
SL2050	hisC
SL3772	yidG
SL1701	ychA
SL0872	ybjT
SL2586	
SL4422	
SL1727	emtA
SL3259	infB
SL3270	yhbY
SL4474	dnaC
SL0138	yacG
SL1640	yciM
SL1283	pps
SL3417	yheM
SL0975	
SL3520	ugpC
SL0181	panD
SL2124	thiM
SL0232	dnaE
SL4035	glpK
SL0068	carB
SL2059	rfbP
SL0468	acrB
SL2266	yfbE
SL2426	eutE
SL3507	gntU
SL0225	yaeT
SL0159	acnB
SL3088	nupG
STnc3540	
SL4226	phnA
SL0528	lpxH
SL2270	arnT
SL2915	iap
SL1432	speG
SL2752	
SL0986	
SL2709	
SL0052	rihC
SL1960	
SL1979	
SL2098	dcd
SL2430	eutT
SL3704	
SL2544	lepB
SL1966	
SL1840	yecO
SL4080	murI
SL1513	nhoA
SL3821	pstB
SL2961	ygdD
SL1106	mviM
SL4077	yijD
SL0390	sbcC
SL4369	cybC
SL1194	
SL3888	rffM
SL0136	secA
SL0767	hutU
SL4053	
SL3268	ftsH
SL2152	
SL3951	hemN
SL3284	yrbE
SL2365	pgtB
SL3229	
STnc070	
SL0317	proB
SL1526	srfC
SL4183	alr-b
SL0497	ybbN
SL4036	glpF
SL1193	
SL1869	yecH
SL3873	gppA
SL1362	purR
SL1692	narG
SL0107	thiP
SL3982	fdoI
SL4407	pepA
SL3974	yihZ
SL3412	tufA
SL1325	ssrB
SL0780	moaC
SL3299	yhbL
SL2698	
SL3876	rho
SL1159	potD
SL3464	hslR
SL1126	maf-a
SL2980	lgt
SL3859	yifE
SL3369	yrdC
SL0063	citX2
SL0677	ybfE
SL1579	
SL2023	pduL
SL2155	
SL2339	pdxB
SL2433	eutS
SL2453	gcvR
SL2559	
SL2771	
SL4272	ecnA
SL2829	hycE
SL3178	bacA
SL3287	yrbH
SL3818	yieG
SL0792	ybhS
SL4236	melB
SL2251	glpQ
SL0750	galM
SL2352	mepA
SL1819	edd
SL3940	hemG
SL1393A	blr
SL1675	oppC
SL1631	fabI
SL1824	yebA
SL1380	pdxH
SL3712	gltS
SL1762	
SL3422	slyD
SL3329	
SL3874	rhlB
SL0659	miaB
SL4330	fklB
SL4097	
SL2454	bcp
SL0071	caiD
SL2425	eutJ
SL3734	
SL0668	glnS
SL4440	
SL3879	rffE
SL2295	nuoC
SL4182	dnaB
SL3609	yiaC
SL1948	
SL2815	gutD
SL4299	purA
SL4156	lysC
SL0350	
SL0653	gltJ
SL0694	ybgK
SL2214	
SL3280	yrbA
SL2334	folC
SL4128	yjbC
SL3050	
SL3696	dfp
SL2330	
SL4066	yijO
SL1614	ycjF
SL3506	asd
SL0966	nucD
SL2823	hydN
SL4208	
SL0298	safD
SL1768	
SL1957	
SL2666	
SL3423	yheV
SL4271	efp
SL2903	rpoS
SL0005	yaaA
SL0894	cydC
SL3652	mtlR
SL2800	emrB
SL3258	rbfA
SL3209	yhaL
SL2271	
SL2722	
SL0811	ybiR
SL4390	pyrI
SL0478	ybaB
SL2354	yfcB
SL0455	mdlB
SL3286	yrbG
SL1965	
SL0215	glnD
SL1937	
SL3428	
SL2272	
SL3237	yraM
SL2428	eutM
SL1691	narH
SL2407	cysP
SL3125	yghW
SL1007	fabA
SL4041	hslV
SL0050	ispH
SL1775	proQ
SL3042	yggA
SL1878	yecF
SL0438	ampG
SL2055	hisI
SL1154	ycfU
SL0435	cyoC
SL2570	
SL0667	nagE
SL2258	
SL2917	
SL0898	ftsK
SL2398	pdxK
SL1082	csgC
SL2309	
SL2196	yejF
SL3023	ygfY
SL0628	mrdA
SL2918	ygcH
SL1232	selD
SL1140	ptsG
SL3255	pnp
SL1274	
SL3068	endA
SL3707	rpoZ
SL0222	uppS
SL2487	yfgB
SL1343	ssaJ
SL3798	yidA
SL2524	yfhA
SL3845	yieM
SL0227	lpxD
SL4323	
SL0896	trxB
SL2314	
SL4191	
SL1427	
SL1939	
SL2788	
SL2946	yqcC
SL3074	pilT
SL2931	eno
SL2435	maeB
RybD	
SL3730	yicL
SL2070	rfbI
SL2112	yegQ
SL2074	rfbB
SL0053	citB2
SL3929	tatC
SL3129	
SL1056	agp
SL0933	ycbK
SL0041	nhaR
SL2460	uraA
SL0135	yacA
SL1047	hpaA
SL2824	
SL3185	rpoD
SL0392	phoB
SL4392	pyrL
SL0419	thiI
SL0865	artQ
SL1910	fliR
SL3753	uhpT
SL2731	
SL1936	
STnc1170	
SL0928	smtA
SL1417	ynfL
SL1172	mnmA
SL0266	sciG
SL3778	yidR
SL3246	yhbT
SL2523	glnB
SL3157	cpdA
SL1227	yeaC
SL3076	yggT
SL4015	
SL4336	cpdB
SL1994	cobU
STnc920	
SL3086	yggX
SL0652	gltK
SL2966	
SL1649	yciK
SL0793	ybhF
SL3812	
SL0411	ribH
SL2063	rfbU
SL1226	yeaA
SL4008	cpxR
SL4112	hydH
SL0625	dacA
SL2545	lepA
SL3212	tdcG
SL2337	truA
SL4123	metH
SL4284	yjeP
SL1268	
SL0258	rnhA
SL0943	
SL2121	yegV
SL2432	eutP
SL2895	ygbL
SL3243	yhbP
SL3602	lpfD
SL3684	rfaI
SL3915	pldB
SL1410	pntB
SL1143	ycfL
SL0074	caiA
SL4426	
SL1040	hpaG
SL0223	cdsA
SL0382	yaiI
SL3994	rhaD
SL1164	pepT
SL0566	nfnB
SL1521	yncA
SL0110	leuD
SL2973	ptr
SL3688	rfaG
SL3906	corA
SL3474	yhgG
SL4209	actP
SL0729	tolA
SL0387	rdgC
SL3801	
SL1615	ycjX
SL3087	mltC
SL2073	rfbD
SL0534	ybcJ
SL3887	rffT
SL3632	yiaJ
SL0941	pncB
STnc2160	
SL0012	dnaK
SL2442	aegA
SL0584	entE
SL2566	
SL2901	
SL3253A	yrbN
SL0972	
SL1071	
SL2763	pipB2
SL4175	dinF
SL1888	fliC
SL2577	
SL2928	ptpS
SL2710	
SL4485	holD
SL2195	yejE
SL1865	ftnB
SL0726	ybgC
SL2353	aroC
SL3203	yqjK
SL0755	modF
SL1944	
SL1962	
SL1267	
SL3307	yhcH
SL1230	sppA
SL3291	yhbG
SL4005	yiiM
SL0651	gltL
SL3368	
SL1366	rnt
SL1973	
SL4107	nfi
SL4442	yjiE
SL4164	malF
SL3064	yqgD
SL0923	ycaQ
SL1345	ssaK
SL2888	mutS
SL3847	kup
SL2161	sanA
SL2458	yfgD
SL0751	galK
SL1027	pipB
SL3098	
SL1228	nam
SL0048	lspA
STnc1080	
SL0650	rihA
SL3536	ftsY
STnc1310	
SL3928	tatB
SL1827	znuB
SL2026	pduO
SL2822	hydA
SL3590	
SL0509	allR
SL0634	holA
SL2631	int
SL3535	ftsE
SL4228	basS
SL2390	lig
SL4254	
SL1468	hyaA2
SL0406	yajD
SL1763	yebN
SL1707	ipk
STnc4020	
SL0249	yaeD
SL3824	pstS
SL1943	
SL4158	yjbE
STnc1670	
SL3078	yggV
SL3420	fkpA
SL0469	acrA
SL3245	yhbS
SL0430	yajR
SL3032	visC
SL4029	
SL1182	cspH
SL1543	
SL2240	rcsC
SL2298	
SL2825	hycI
SL2949	ygdH
SL0910	pflB
SL1418	mlc
SL3853	rbsR
SL3800	
SL4058	gldA
SL1162	potB
SL2064	rfbV
SL3433	crp
SL4021	ydeV
SL3890	hemY
SL2445	yffB
SL3174	glnE
SL2772	
SL4480	
SL2254	glpB
SL0712	gltA
SL3491	glpG
SL3898	cyaY
SL2392	cysZ
SL1880	yecC
SL3253	deaD
SL4296	hflX
SL1388	rnfD
SL0918	rpsA
SL3533	rpoH
SL2494	
SL0730	tolB
SL1147	ycfP
SL0187	dksA
SL1822	pykA
SL3905	uvrD
SL0567	ybdF
SL4320	sgaU
SL3173	rfaE
SL0140	coaE
SL2341	
SL3563	
SL0915	aroA
SL1779	yebU
SL3925	yigP
SL1470	
SL3398	rpsQ
SL2525	yfhG
SL1559	steB
SL1646	topA
SL2988	aas
SL2769	tctD
SL3600	yhjW
SL2471	guaA
SL3460	mrcA
SL2927	cysJ
SL0004	thrC
SL0447	comE1
SL0945	
SL2028	pduQ
SL2102	yegD
SL2953	fucO
SL3989	
SL4360	
SL0485	ybaL
SL2039	phsC
SL3442	nirD
SL3421	slyX
SL1941	
SL2651	corE
SL3544	yhhQ
SL3685	rfaB
SL2054	hisF
SL2364	pgtA
SL1211	yaoF
SL3650	mtlA
SL1362A	ynhF
SL3565	
SL3802	gyrB
SL3244	yhbQ
SL0101	araD
SL2336	dedA
SL2960	ygdE
SL1012	sxy
SL1348	ssaV
SL0655	lnt
SL3955	typA
SL4020	
SL0892	
SL0105	yabI
SL4406	holC
SL1217	yeaK
SL2273	pmrD
SL1428	dmsA2
SL3980	
SL2817	srlR
SL1394	ydgJ
SL1657	trpB
SL2569	
SL1412	ydgF
SL2172	
SL3293	yhbH
SL4455	hsdS
SL2452	dapA
SL3084	trmB
SL0473	ybaM
SL2154	
SL0882	cspD
SL0768	hutH
SL3769	dsdX
SL4255	phoN
SL0535	folD
SL1001	rlmL
SL2221	
SL2923	ygcB
SL0437	cyoA
SL3302	gltB
SL1042	hpaD
SL2827	hycG
SL3151	ygiX
SL4017	
SL4353	iolB
SL2616	pssA
SL4030	tpiA
SL0250	dkgB
SL2241	gyrA
SL4108	yjaG
SL4129	yjbD
SL3502	glgA
SL1447	ydeD
SL2835	hypB
SL2164	yeiA
SL2421	eutB
CsrB	
SL3038	serA
SL2650	ffh
SL4086	secE
SL0111	leuC
SL0315	crl
SL1764	rrmA
SL0203	hemL
SL4073	argH
SL0163	
SL1124	
SL3022	ygfX
SL1667	yciA
SL3917	yigM
SL2498	pepB
SL0822	moeA
SL3681	rfaZ
SL1534	ydcP
SL0238	rof
SL1225	gapA
SL4091	rplL
SL1800	mig-3
SL1810	holE
SL2514	
SL3195	ygjQ
SL3351	
SL2594	
SL0695	ybgL
SL4260	dipZ
SL4444	yjiG
SL3543	yhhP
IsrL	
SL1771	kdgR
SL4295	hfq
SL3754	uhpC
SL2974	recC
SL0090	apaG
SL2276	menB
SL4388	
SL2475	ratB
SL2857	iagB
SL1767	yobF
SL3410	bfr
SL0488	ybaK
SL0522	fdrA
SL3230	
SL3748	
SL2069	rfbF
SL1391	rnfA
SL3279	murA
SL1455	yneH
SL3485	rtcA
SL3531	yhhK
SL2193	yejA
SL2483	yfgM
SL0471	aefA
SL4385	treB
SL4042	ftsN
SL0062	citF2
SL0998	pyrD
SL4094	
SL4334	ytfG
SL3848	rbsD
SL0186	yadB
SL4350	iolR
SL2348	mnmC
SL1820	zwf
SL1504	
SL2783	stpA
SL0676	fldA
SL3647	selB
SL2151	yohI
SL1742	minC
SL3309	nanE
SL0214	dapD
SL2208	oafA
SL4065	frwD
SL1264	
SL3569	
SL3963	yihO
SL1807	
SL0779	moaB
SL3290	yhbN
SL0492	cueR
SL2944	
SL0165	
SL0176	stiC
SL1236	
SL1616	pspE
SL0229	lpxA
SL3661	
SL2132	metG
SL1935	
SL4355	
SL2501	hscA
SL0191	mrcB
SL0145	nadC
SL3687	rfaP
SL2456	perM
SL1247	celA
SL1705	hemA
SL2484	hisS
SL0151	pdhR
SL2567	
SL1770	
SL3124	hypO
SL3154	ygiN
SL1665	yciC
SL0649	
SL0805	glnH
SL0491	copA
SL1136	yceG
SL4219	gltP
SL0871	
SL0670	ybfN
SL0093	surA
SL0778	moaA
SL0281	sciT
SL0762	ybhE
SL1043	hpaF
SL1963	
SL2564	
SL2587	
SL3067	sprT
SL3356	prmA
SL3993	
SL1999	cbiM
SL1735	dsbB
SL0381	proC
SL3503	glgC
SL4430	yjhP
SL1477	
SL2057	udg
SL3479	gntT
SL3612	yiaE
SL0529	ppiB
SL3552	yhiI
SL3921	dlhH
SL1834	yebC
SL2072	rfbA
SL1400	fumC
SL3202	yqjE
SL4347	ppa
SL0094	imp
SL1358	ribE
SL1710	ychH
